method,lora_r,galore_rank,update_proj_gap,target_modules,epoch,loss_mean,grad_norm_mean,learning_rate_mean,entropy_mean,num_tokens_mean,mean_token_accuracy_mean,step_mean,eval_loss_mean,eval_runtime_mean,eval_samples_per_second_mean,eval_steps_per_second_mean,eval_entropy_mean,eval_num_tokens_mean,eval_mean_token_accuracy_mean,loss_std,grad_norm_std,learning_rate_std,entropy_std,num_tokens_std,mean_token_accuracy_std,step_std,eval_loss_std,eval_runtime_std,eval_samples_per_second_std,eval_steps_per_second_std,eval_entropy_std,eval_num_tokens_std,eval_mean_token_accuracy_std
dora,64.0,,,all,3.0,0.6590046595290451,1.6023030281066895,8.002288329519452e-05,0.7189663456799783,15874806.0,0.8226228594029795,5244.0,1.2992244561513264,699.8415333333332,4.281,0.536,0.8827915169927808,15874806.0,0.7289312082926432,0.00020337714832173418,0.1944195137709183,0.0,9.699451808257741e-05,0.0,0.00018416039426576074,0.0,0.005187321387227274,5.1487365171790715,0.03148015247739443,0.0036055512754639848,0.013317978333027435,0.0,0.00021632707012753268
dora,64.0,,,all,4.0,0.3307366971293085,1.904579758644104,4.0022883295194505e-05,0.4161224929483722,21166408.0,0.9050335883184938,6992.0,1.5069365898768108,700.1655000000001,4.279,0.5356666666666667,0.6829602337678273,21166408.0,0.726132592731052,0.00023523754015877273,0.19342756909007405,0.0,0.00025355910883764044,0.0,0.00010320901042458153,0.0,0.010444799447349972,5.089514858019371,0.030999999999999694,0.0035118845842842666,0.005445465947274701,0.0,0.00012182714084409332
dora,64.0,,,all,5.0,0.13409622855808423,1.4435749451319377,2.2883295194508016e-08,0.2018251015181695,26458010.0,0.9626361331827854,8740.0,1.7840866645177205,699.3207333333334,4.284,0.5363333333333333,0.5253671339617835,26458010.0,0.7236347982618544,0.0003069224419054482,0.08681324268356924,0.0,0.0002575237543018728,0.0,9.087327255201089e-05,0.0,0.005613268545882493,4.4954661185836144,0.02749545416973526,0.0035118845842842363,0.0019572428357522236,0.0,0.0002184300444965958
dora,64.0,,,attn,1.0,1.2499343557816076,0.574883222579956,0.00016002288329519454,1.2605186107843365,5291602.0,0.7166706789299152,1748.0,1.2134851217269897,283.28343333333333,10.576333333333332,1.3236666666666668,1.227335524506039,5291602.0,0.72352881081899,0.00034335174420480074,0.02373826649816182,0.0,0.0002567069795555237,0.0,8.507208201232076e-05,0.0,0.001049237023135977,2.206289859318849,0.08258530942809003,0.010016652800877797,0.02535917168671441,0.0,0.00022696390366061344
dora,64.0,,,attn,2.0,1.1286403210812357,0.8781089584032694,0.00012002288329519453,1.1468397186377137,10583204.0,0.7349168014471809,3496.0,1.2037533521652222,283.00393333333335,10.587000000000002,1.3253333333333333,1.1497256567213272,10583204.0,0.7263549735811021,0.0010954569239455874,0.06753855753511236,0.0,0.0010049118813030915,0.0,0.00020376852541002438,0.0,0.002031866969738638,2.1827893744778257,0.08161494961096363,0.010016652800877853,0.030481763506109875,0.0,0.0002796871045347881
dora,64.0,,,attn,3.0,0.9761248020431088,1.022236982981364,8.002288329519452e-05,1.0098592110097544,15874806.0,0.7607728020322858,5244.0,1.2228792905807495,283.175,10.580666666666666,1.3243333333333334,1.0557131038771737,15874806.0,0.7266535904672411,0.001461351028976738,0.12525758203318224,0.0,0.001409476052192456,0.0,0.00031977036367095607,0.0,0.0026094401215334467,2.1828047164141986,0.08164761682580404,0.010503967504392494,0.012774993696671995,0.0,0.00017979491529425493
dora,64.0,,,attn,4.0,0.8084365064910494,1.3999144633611043,4.0022883295194505e-05,0.8635598621711215,21166408.0,0.793502130893057,6992.0,1.2781870365142822,283.07643333333334,10.584000000000001,1.3246666666666667,0.9632075779702928,21166408.0,0.7246559849845039,0.001553725348111352,0.10899315447874165,0.0,0.0013220098175645058,0.0,0.0004904843599494546,0.0,0.001572741724236379,2.1700207702538807,0.08107404023483694,0.010016652800877764,0.006294874820712466,0.0,7.398772302751047e-05
dora,64.0,,,attn,5.0,0.6546027956801822,1.5900518496831257,2.2883295194508016e-08,0.7304152395721157,26458010.0,0.827814695139044,8740.0,1.362929105758667,283.1334,10.582,1.3246666666666667,0.880937123404609,26458010.0,0.7205732004907396,0.0012527344380700049,0.047411693229427315,0.0,0.0008347272020850962,0.0,0.0005725727542080169,0.0,0.0013250173022895328,2.2414073346895176,0.08354040938372251,0.010503967504392383,0.0008461055214610951,0.0,3.0528457350773365e-05
dora,128.0,,,all,1.0,1.3002661989446271,1.1037896474202473,0.00016002288329519454,1.296041492159634,5291602.0,0.7090207411531816,1748.0,1.2605125904083252,709.9065333333333,4.2203333333333335,0.5283333333333333,1.2615692014164395,5291602.0,0.7163473330603706,0.0005445676994388608,0.0512474132136882,0.0,0.0003905254941635263,0.0,5.111095544192224e-05,0.0,0.0005818445449283724,6.836487585254049,0.04067349669420291,0.005131601439446851,0.020487684186002067,0.0,0.0005250759597836502
dora,128.0,,,all,2.0,1.0023748076298509,1.4985235532124836,0.00012002288329519453,1.0168073656993635,10583204.0,0.7545993048029942,3496.0,1.247441331545512,708.9600333333334,4.226,0.529,1.0905429827372233,10583204.0,0.7238307461738587,0.0011971613512157656,0.1470201215660177,0.0,0.001214184786326049,0.0,0.00017104513875450326,0.0,0.0018569787442147925,5.54135947790196,0.03345145736735572,0.00435889894354069,0.024979920192279435,0.0,0.00046801483793116716
dora,128.0,,,all,3.0,0.5912317527695342,1.778996467590332,8.002288329519452e-05,0.6562141096610136,15874806.0,0.8370079038413221,5244.0,1.3573426008224487,708.9062333333333,4.226333333333333,0.529,0.8327554927402073,15874806.0,0.7265994025336372,0.0017991710556804028,0.22657237567448774,0.0,0.0013695364068213763,0.0,0.000586463211542775,0.0,0.003912937334604991,6.116785721548015,0.036363901514184976,0.00435889894354069,0.00988023601033884,0.0,0.0003301806354265706
dora,128.0,,,all,4.0,0.24732462565104166,1.9201501210530598,4.0022883295194505e-05,0.3241992194935805,21166408.0,0.9275553847523157,6992.0,1.5997174978256226,709.5718,4.222333333333333,0.5286666666666667,0.6190451716581981,21166408.0,0.7250411317613391,0.0006500841001576169,0.11556061327450196,0.0,0.0007189523740592905,0.0,0.00037626311165697696,0.0,0.008271340887629763,5.136520608349535,0.03043572462310235,0.00378593889720023,0.00801251053483954,0.0,0.00022373165022932277
dora,128.0,,,all,5.0,0.08503104529246223,1.1894198258717854,2.2883295194508016e-08,0.12920285072987495,26458010.0,0.976867247409806,8740.0,1.8936376174290974,709.8245000000001,4.221,0.5283333333333333,0.4609754421446059,26458010.0,0.7252593491342333,0.0004157111968269269,0.08357117001009043,0.0,0.0003959540910049642,0.0,0.0002170234666598703,0.0,0.0063852316168518004,5.381728022670739,0.03244996147917609,0.004163331998932284,0.002751373607103863,0.0,7.11369459253974e-06
dora,128.0,,,attn,1.0,1.2599224262252098,0.7330522139867147,0.00016002288329519454,1.269679805393168,5291602.0,0.7153633482396193,1748.0,1.2233838240305583,285.8059333333333,10.484,1.3123333333333334,1.230934578206804,5291602.0,0.722188217692905,0.000190978258878994,0.027586288919271354,0.0,0.00012933124602061374,0.0,3.4167140634772355e-05,0.0,0.00032988590785996866,4.150530142443658,0.1512481404844379,0.01942506971244468,0.025076417314968902,0.0,0.0002506032535060067
