method,lora_r,galore_rank,update_proj_gap,target_modules,train_time_hours_mean,base_memory_gb_mean,peak_memory_gb_mean,peak_reserved_memory_gb_mean,trainable_parameters_mean,total_parameters_mean,trainable_percent_mean,train_samples_per_second_mean,train_steps_per_second_mean,final_train_loss_mean,final_eval_loss_mean,svd_total_seconds_mean,svd_call_count_mean,svd_avg_ms_per_call_mean,train_time_hours_std,base_memory_gb_std,peak_memory_gb_std,peak_reserved_memory_gb_std,trainable_parameters_std,total_parameters_std,trainable_percent_std,train_samples_per_second_std,train_steps_per_second_std,final_train_loss_std,final_eval_loss_std,svd_total_seconds_std,svd_call_count_std,svd_avg_ms_per_call_std
fft,,,,all,6.5,14.96,61.20000000000001,62.00666666666666,8030261248.0,8030261248.0,100.0,2.9933333333333336,0.37333333333333335,0.2784333333333333,1.4696333333333333,,,,0.3567912554982256,0.0,0.0,0.11239810200058643,0.0,0.0,0.0,0.17097758137642874,0.023094010767585056,0.0012342339054382517,0.002371356854910888,,,
galore,,128.0,500.0,all,25.876666666666665,14.96,37.00666666666667,47.18,8030261248.0,8030261248.0,100.0,0.7566666666666667,0.09666666666666668,1.1047333333333333,1.2011333333333334,73224.90999999999,4032.0,18160.94,2.302744739074078,0.0,0.011547005383793295,0.8909545442950535,0.0,0.0,0.0,0.06658328118479392,0.005773502691896261,0.00011547005383791244,0.00011547005383791243,8242.592424449975,0.0,2044.2936794159484
galore_rsvd,,128.0,200.0,all,5.686666666666667,14.96,37.00666666666667,46.086666666666666,8030261248.0,8030261248.0,100.0,3.4166666666666665,0.42333333333333334,1.1074666666666666,1.2011333333333334,532.4066666666666,9856.0,54.01666666666667,0.0585946527708229,0.0,0.011547005383793295,1.995753825834574,0.0,0.0,0.0,0.03785938897200163,0.0057735026918962675,0.0002309401076758249,0.00015275252316522631,31.652344831518125,0.0,3.2093976589592836
galore_rsvd,,128.0,500.0,all,5.686666666666667,14.96,37.00666666666667,46.086666666666666,8030261248.0,8030261248.0,100.0,3.4133333333333336,0.42333333333333334,1.1050333333333333,1.2011333333333334,280.40333333333336,4032.0,69.54333333333334,0.08386497083606115,0.0,0.011547005383793295,1.995753825834574,0.0,0.0,0.0,0.04932882862316241,0.0057735026918962675,0.00015275252316517785,5.773502691902032e-05,60.791053892273766,0.0,15.075265614022639
lora,8.0,,,all,6.2,15.04,22.13,28.086666666666662,20971520.0,8051232768.0,0.2605,3.1466666666666665,0.3933333333333333,0.7056999999999999,1.3292,,,,0.5023942674832189,0.0,0.0,3.3890460801431046,0.0,0.0,0.0,0.23965252624024927,0.02886751345948128,0.0009165151389911458,9.999999999998899e-05,,,
lora,8.0,,,attn,4.81,14.979999999999999,21.97,27.903333333333332,6815744.0,8037076992.0,0.0848,4.04,0.5033333333333333,1.0633333333333332,1.2298,,,,0.02645751311064597,0.0,0.0,3.3832725774512067,0.0,0.0,0.0,0.02645751311064601,0.005773502691896279,0.00037859388972002296,0.00026457513110642993,,,
lora,16.0,,,all,5.983333333333333,15.11,22.36,28.403333333333336,41943040.0,8072204288.0,0.5196,3.2433333333333336,0.41,0.4844,1.4351666666666667,,,,0.01154700538379291,0.0,0.0,3.3832725774512085,0.0,0.0,0.0,0.005773502691896167,0.0,0.00043588989435407025,0.001040832999733054,,,
lora,16.0,,,attn,4.8133333333333335,15.01,22.05,28.003333333333334,13631488.0,8043892736.0,0.1695,4.033333333333333,0.5066666666666667,0.9623666666666667,1.2529000000000001,,,,0.03214550253664259,0.0,0.0,3.3832725774512067,0.0,0.0,0.0,0.03055050463303901,0.0057735026918962545,0.0003511884584284676,0.0006000000000001005,,,
lora,32.0,,,all,5.963333333333334,15.28,22.84,28.546666666666667,83886080.0,8114147328.0,1.0338,3.2566666666666664,0.41,0.27136666666666664,1.5953333333333333,,,,0.02081665999466115,0.0,0.0,3.3890460801431046,0.0,0.0,0.0,0.011547005383792526,0.0,0.0008386497083605959,0.0025540817005987857,,,
lora,32.0,,,attn,4.826666666666667,15.06,22.2,28.213333333333335,27262976.0,8057524224.0,0.3384,4.023333333333333,0.5033333333333333,0.8224666666666667,1.2949,,,,0.015275252316519893,0.0,0.0,3.3832725774512045,0.0,0.0,0.0,0.015275252316519893,0.0057735026918962545,0.0011150485789118197,0.002022374841615594,,,
lora,64.0,,,all,6.03,15.58,23.78,29.48,167772160.0,8198033408.0,2.0465,3.223333333333333,0.4000000000000001,0.13456666666666667,1.7814333333333332,,,,0.017320508075689044,0.0,0.0,3.273576026305177,0.0,0.0,0.0,0.011547005383792462,0.0,0.00025166114784235725,0.004738494838377853,,,
lora,64.0,,,attn,4.836666666666667,15.160000000000002,22.5,28.623333333333335,54525952.0,8084787200.0,0.6744,4.02,0.5033333333333333,0.6536666666666666,1.3624,,,,0.04041451884327397,0.0,0.0,3.3832725774512067,0.0,0.0,0.0,0.034641016151377386,0.0057735026918962545,0.0004725815626252871,0.0009643650760992411,,,
lora,128.0,,,all,6.169999999999999,16.24,25.679999999999996,29.676666666666666,335544320.0,8365805568.0,4.0109,3.146666666666667,0.39333333333333337,0.08433333333333333,1.8978333333333335,,,,0.06557438524302037,0.0,0.0,3.389046080143106,0.0,0.0,0.0,0.030550504633038877,0.0057735026918962675,0.0004932882862316267,0.008619358058076976,,,
lora,128.0,,,attn,4.846666666666667,15.36,23.11,28.44333333333333,109051904.0,8139313152.0,1.3398,4.006666666666667,0.5,0.4834333333333333,1.4593333333333334,,,,0.03785938897200127,0.0,0.0,3.4179135936025853,0.0,0.0,0.0,0.03214550253664291,0.0,0.0005686240703077351,0.0017214335111568654,,,
qdora,8.0,,,all,9.700000000000001,5.349999999999999,12.37,18.613333333333333,22347776.0,4562948096.0,0.4898,2.0100000000000002,0.25,0.8242333333333333,1.2815,,,,0.7542545989253231,0.0,0.0,3.365952069375517,0.0,0.0,0.0,0.14730919862656228,0.01732050807568877,0.0007767453465153947,0.0010816653826391932,,,
qdora,16.0,,,all,9.176666666666668,5.39,12.49,18.77333333333333,43319296.0,4583919616.0,0.945,2.1133333333333333,0.26666666666666666,0.6149666666666667,1.3569666666666667,,,,0.06350852961085825,0.0,0.0,3.365952069375519,0.0,0.0,0.0,0.011547005383792462,0.0057735026918962545,0.001484362938547516,0.0015307950004273796,,,
qdora,32.0,,,all,9.27,5.47,12.72,19.083333333333332,85262336.0,4625862656.0,1.8432000000000002,2.0933333333333333,0.26,0.3813,1.4784999999999997,,,,0.017320508075688405,0.0,0.0,3.365952069375517,0.0,0.0,0.0,0.005773502691896391,0.0,0.0002645751311064693,0.0038000000000000256,,,
qdora,64.0,,,all,9.31,5.63,13.199999999999998,19.313333333333333,169148416.0,4709748736.0,3.5915,2.0833333333333335,0.26,0.18386666666666665,1.6624333333333334,,,,0.08888194417315574,0.0,0.0,3.3832725774512067,0.0,0.0,0.0,0.02081665999466115,0.0,0.000702376916856839,0.00198578280114764,,,
qdora,128.0,,,all,9.463333333333333,5.94,14.14,20.180000000000003,336920576.0,4877520896.0,6.9075999999999995,2.0533333333333332,0.26,0.08093333333333333,1.8649333333333333,,,,0.02886751345948144,0.0,0.0,3.325537550532243,0.0,0.0,0.0,0.005773502691896391,0.0,0.0002516611478423582,0.0028112867753635343,,,
qlora,8.0,,,all,5.483333333333333,5.349999999999999,12.36,18.296666666666667,20971520.0,4561571840.0,0.4597,3.5400000000000005,0.44333333333333336,0.8238666666666666,1.2817666666666667,,,,0.0351188458428419,0.0,0.0,3.4236870962944805,0.0,0.0,0.0,0.020000000000000018,0.0057735026918962675,0.0004725815626252871,0.00040414518843275303,,,
qlora,16.0,,,all,5.53,5.39,12.479999999999999,18.453333333333333,41943040.0,4582543360.0,0.9152999999999999,3.513333333333333,0.44,0.6126666666666667,1.3580666666666665,,,,0.04000000000000026,0.0,0.0,3.417913593602584,0.0,0.0,0.0,0.025166114784235714,0.0,0.001026320287889372,0.0005507570547286587,,,
qlora,32.0,,,all,5.78,5.47,12.72,18.773333333333333,83886080.0,4624486400.0,1.814,3.3766666666666665,0.42333333333333334,0.38023333333333337,1.4786000000000001,,,,0.5199999999999997,0.0,0.0,3.417913593602584,0.0,0.0,0.0,0.2919474838619666,0.03785938897200183,0.000611010092660769,0.0006999999999999784,,,
qlora,64.0,,,all,5.59,5.64,13.199999999999998,19.033333333333335,167772160.0,4708372480.0,3.5633,3.473333333333333,0.43333333333333335,0.18193333333333336,1.6640333333333335,,,,0.02645751311064597,0.0,0.0,3.348631561299828,0.0,0.0,0.0,0.011547005383792462,0.0057735026918962675,0.0004509249752822952,0.0015143755588800478,,,
qlora,128.0,,,all,5.623333333333334,5.95,14.14,19.94333333333333,335544320.0,4876144640.0,6.8813,3.456666666666667,0.43,0.08003333333333333,1.8661333333333332,,,,0.037859388972002174,0.0,0.0,3.348631561299828,0.0,0.0,0.0,0.020816659994661143,0.0,0.0002516611478423582,0.004101625693957641,,,
